country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,parks_percent_change_from_baseline
Indonesia,Jakarta,2020-02-15,2,16
Indonesia,Jakarta,2020-02-16,-10,-15
Indonesia,Jakarta,2020-02-17,-2,-6
Indonesia,Jakarta,2020-02-18,-1,-3
Indonesia,Jakarta,2020-02-19,-1,-2
Indonesia,Jakarta,2020-02-20,-2,-2
Indonesia,Jakarta,2020-02-21,6,18
Indonesia,Jakarta,2020-02-22,2,11
Indonesia,Jakarta,2020-02-23,-7,-11
Indonesia,Jakarta,2020-02-24,-2,-3
Indonesia,Jakarta,2020-02-25,-17,-17
Indonesia,Jakarta,2020-02-26,2,3
Indonesia,Jakarta,2020-02-27,2,1
Indonesia,Jakarta,2020-02-28,9,7
Indonesia,Jakarta,2020-02-29,5,-1
Indonesia,Jakarta,2020-03-01,4,-11
Indonesia,Jakarta,2020-03-02,6,5
Indonesia,Jakarta,2020-03-03,3,-1
Indonesia,Jakarta,2020-03-04,-2,-8
Indonesia,Jakarta,2020-03-05,3,1
Indonesia,Jakarta,2020-03-06,10,19
Indonesia,Jakarta,2020-03-07,4,15
Indonesia,Jakarta,2020-03-08,0,1
Indonesia,Jakarta,2020-03-09,3,7
Indonesia,Jakarta,2020-03-10,1,2
Indonesia,Jakarta,2020-03-11,1,3
Indonesia,Jakarta,2020-03-12,-3,-7
Indonesia,Jakarta,2020-03-13,8,16
Indonesia,Jakarta,2020-03-14,-12,-17
Indonesia,Jakarta,2020-03-15,-20,-37
Indonesia,Jakarta,2020-03-16,-18,-23
Indonesia,Jakarta,2020-03-17,-16,-23
Indonesia,Jakarta,2020-03-18,-22,-28
Indonesia,Jakarta,2020-03-19,-28,-33
Indonesia,Jakarta,2020-03-20,-30,-32
Indonesia,Jakarta,2020-03-21,-35,-38
Indonesia,Jakarta,2020-03-22,-49,-59
Indonesia,Jakarta,2020-03-23,-40,-43
Indonesia,Jakarta,2020-03-24,-43,-46
Indonesia,Jakarta,2020-03-25,-54,-55
Indonesia,Jakarta,2020-03-26,-47,-46
Indonesia,Jakarta,2020-03-27,-46,-43
Indonesia,Jakarta,2020-03-28,-54,-51
Indonesia,Jakarta,2020-03-29,-59,-63
Indonesia,Jakarta,2020-03-30,-51,-50
Indonesia,Jakarta,2020-03-31,-50,-52
Indonesia,Jakarta,2020-04-01,-47,-49
Indonesia,Jakarta,2020-04-02,-48,-46
Indonesia,Jakarta,2020-04-03,-47,-44
Indonesia,Jakarta,2020-04-04,-53,-52
Indonesia,Jakarta,2020-04-05,-57,-64
Indonesia,Jakarta,2020-04-06,-50,-52
Indonesia,Jakarta,2020-04-07,-47,-48
Indonesia,Jakarta,2020-04-08,-48,-51
Indonesia,Jakarta,2020-04-09,-47,-48
Indonesia,Jakarta,2020-04-10,-68,-61
Indonesia,Jakarta,2020-04-11,-63,-61
Indonesia,Jakarta,2020-04-12,-67,-71
Indonesia,Jakarta,2020-04-13,-55,-53
Indonesia,Jakarta,2020-04-14,-55,-53
Indonesia,Jakarta,2020-04-15,-56,-55
Indonesia,Jakarta,2020-04-16,-55,-51
Indonesia,Jakarta,2020-04-17,-55,-47
Indonesia,Jakarta,2020-04-18,-62,-59
Indonesia,Jakarta,2020-04-19,-64,-67
Indonesia,Jakarta,2020-04-20,-56,-53
Indonesia,Jakarta,2020-04-21,-58,-56
Indonesia,Jakarta,2020-04-22,-56,-54
Indonesia,Jakarta,2020-04-23,-54,-52
Indonesia,Jakarta,2020-04-24,-64,-59
Indonesia,Jakarta,2020-04-25,-65,-63
Indonesia,Jakarta,2020-04-26,-68,-73
Indonesia,Jakarta,2020-04-27,-60,-58
